index,config,accuracy,total_time,total_cost,details_csv_filepath
8,"{'llm': 'gpt-4-32k', 'retriever': <RAGRetriever.RAG_AS_TOOL: 'RAG_AS_TOOL'>, 'distance_metric': <DistanceMetric.MAX_INNER_PRODUCT: 'MAX_INNER_PRODUCT'>, 'num_search_results': 3, 'similarity_search_score_threshold': 0.0, 'text_chunk_size': 512, 'use_weighted_average_of_text_chunks': True}",0.75,304.2014548778534,2.3622,results/details/pandas_test_cases_v3_gpt-4-32k_RAG_AS_TOOL_MAX_INNER_PRODUCT_k_results_3_threshold_0.0_chunk_size_512_avg_True.csv
13,"{'llm': 'gpt-4-32k', 'retriever': <RAGRetriever.CoALA_AS_TOOL: 'CoALA_AS_TOOL'>, 'distance_metric': <DistanceMetric.EUCLIDEAN_DISTANCE: 'EUCLIDEAN_DISTANCE'>, 'num_search_results': 1, 'similarity_search_score_threshold': 0.0, 'text_chunk_size': 512, 'use_weighted_average_of_text_chunks': True}",0.7,256.92502880096436,2.4871048,results/details/pandas_test_cases_v3_gpt-4-32k_CoALA_AS_TOOL_EUCLIDEAN_DISTANCE_k_results_1_threshold_0.0_chunk_size_512_avg_True.csv
3,"{'llm': 'gpt-4-32k', 'retriever': <RAGRetriever.RAG: 'RAG'>, 'distance_metric': <DistanceMetric.MAX_INNER_PRODUCT: 'MAX_INNER_PRODUCT'>, 'num_search_results': 1, 'similarity_search_score_threshold': 0.0, 'text_chunk_size': 512, 'use_weighted_average_of_text_chunks': True}",0.7,722.2008800506592,23.1052258,results/details/pandas_test_cases_v3_gpt-4-32k_RAG_MAX_INNER_PRODUCT_k_results_1_threshold_0.0_chunk_size_512_avg_True.csv
5,"{'llm': 'gpt-4-32k', 'retriever': <RAGRetriever.RAG_AS_TOOL: 'RAG_AS_TOOL'>, 'distance_metric': <DistanceMetric.EUCLIDEAN_DISTANCE: 'EUCLIDEAN_DISTANCE'>, 'num_search_results': 1, 'similarity_search_score_threshold': 0.0, 'text_chunk_size': 512, 'use_weighted_average_of_text_chunks': True}",0.65,673.212863445282,12.192660000000002,results/details/pandas_test_cases_v3_gpt-4-32k_RAG_AS_TOOL_EUCLIDEAN_DISTANCE_k_results_1_threshold_0.0_chunk_size_512_avg_True.csv
10,"{'llm': 'gpt-4-32k', 'retriever': <RAGRetriever.CoALA: 'CoALA'>, 'distance_metric': <DistanceMetric.EUCLIDEAN_DISTANCE: 'EUCLIDEAN_DISTANCE'>, 'num_search_results': 3, 'similarity_search_score_threshold': 0.0, 'text_chunk_size': 512, 'use_weighted_average_of_text_chunks': True}",0.65,387.567241191864,14.043157099999997,results/details/pandas_test_cases_v3_gpt-4-32k_CoALA_EUCLIDEAN_DISTANCE_k_results_3_threshold_0.0_chunk_size_512_avg_True.csv
16,"{'llm': 'gpt-4-32k', 'retriever': <RAGRetriever.CoALA_AS_TOOL: 'CoALA_AS_TOOL'>, 'distance_metric': <DistanceMetric.MAX_INNER_PRODUCT: 'MAX_INNER_PRODUCT'>, 'num_search_results': 3, 'similarity_search_score_threshold': 0.0, 'text_chunk_size': 512, 'use_weighted_average_of_text_chunks': True}",0.65,1015.5002076625824,22.233,results/details/pandas_test_cases_v3_gpt-4-32k_CoALA_AS_TOOL_MAX_INNER_PRODUCT_k_results_3_threshold_0.0_chunk_size_512_avg_True.csv
1,"{'llm': 'gpt-4-32k', 'retriever': <RAGRetriever.RAG: 'RAG'>, 'distance_metric': <DistanceMetric.EUCLIDEAN_DISTANCE: 'EUCLIDEAN_DISTANCE'>, 'num_search_results': 1, 'similarity_search_score_threshold': 0.0, 'text_chunk_size': 512, 'use_weighted_average_of_text_chunks': True}",0.65,714.6660687923431,23.216045800000007,results/details/pandas_test_cases_v3_gpt-4-32k_RAG_EUCLIDEAN_DISTANCE_k_results_1_threshold_0.0_chunk_size_512_avg_True.csv
11,"{'llm': 'gpt-4-32k', 'retriever': <RAGRetriever.CoALA: 'CoALA'>, 'distance_metric': <DistanceMetric.MAX_INNER_PRODUCT: 'MAX_INNER_PRODUCT'>, 'num_search_results': 1, 'similarity_search_score_threshold': 0.0, 'text_chunk_size': 512, 'use_weighted_average_of_text_chunks': True}",0.65,781.1739647388458,24.3947155,results/details/pandas_test_cases_v3_gpt-4-32k_CoALA_MAX_INNER_PRODUCT_k_results_1_threshold_0.0_chunk_size_512_avg_True.csv
6,"{'llm': 'gpt-4-32k', 'retriever': <RAGRetriever.RAG_AS_TOOL: 'RAG_AS_TOOL'>, 'distance_metric': <DistanceMetric.EUCLIDEAN_DISTANCE: 'EUCLIDEAN_DISTANCE'>, 'num_search_results': 3, 'similarity_search_score_threshold': 0.0, 'text_chunk_size': 512, 'use_weighted_average_of_text_chunks': True}",0.6,320.230331659317,2.7677545,results/details/pandas_test_cases_v3_gpt-4-32k_RAG_AS_TOOL_EUCLIDEAN_DISTANCE_k_results_3_threshold_0.0_chunk_size_512_avg_True.csv
14,"{'llm': 'gpt-4-32k', 'retriever': <RAGRetriever.CoALA_AS_TOOL: 'CoALA_AS_TOOL'>, 'distance_metric': <DistanceMetric.EUCLIDEAN_DISTANCE: 'EUCLIDEAN_DISTANCE'>, 'num_search_results': 3, 'similarity_search_score_threshold': 0.0, 'text_chunk_size': 512, 'use_weighted_average_of_text_chunks': True}",0.6,608.8072381019592,11.5014,results/details/pandas_test_cases_v3_gpt-4-32k_CoALA_AS_TOOL_EUCLIDEAN_DISTANCE_k_results_3_threshold_0.0_chunk_size_512_avg_True.csv
