index,config,accuracy,total_time,total_cost,details_csv_filepath
4,"{'llm': 'gpt-4-32k', 'retriever': <RAGRetriever.RAG: 'RAG'>, 'distance_metric': <DistanceMetric.MAX_INNER_PRODUCT: 'MAX_INNER_PRODUCT'>, 'num_search_results': 3, 'similarity_search_score_threshold': 0.0, 'text_chunk_size': 512, 'use_weighted_average_of_text_chunks': True}",0.55,558.9686439037323,29.7660618,results/details/pandas_zero_shot_gpt-4-32k_RAG_MAX_INNER_PRODUCT_k_results_3_threshold_0.0_chunk_size_512_avg_True.csv
14,"{'llm': 'gpt-4-32k', 'retriever': <RAGRetriever.CoALA_AS_TOOL: 'CoALA_AS_TOOL'>, 'distance_metric': <DistanceMetric.EUCLIDEAN_DISTANCE: 'EUCLIDEAN_DISTANCE'>, 'num_search_results': 3, 'similarity_search_score_threshold': 0.0, 'text_chunk_size': 512, 'use_weighted_average_of_text_chunks': True}",0.5,439.7151939868927,5.13996,results/details/pandas_zero_shot_gpt-4-32k_CoALA_AS_TOOL_EUCLIDEAN_DISTANCE_k_results_3_threshold_0.0_chunk_size_512_avg_True.csv
7,"{'llm': 'gpt-4-32k', 'retriever': <RAGRetriever.RAG_AS_TOOL: 'RAG_AS_TOOL'>, 'distance_metric': <DistanceMetric.MAX_INNER_PRODUCT: 'MAX_INNER_PRODUCT'>, 'num_search_results': 1, 'similarity_search_score_threshold': 0.0, 'text_chunk_size': 512, 'use_weighted_average_of_text_chunks': True}",0.5,480.4719007015228,5.880199599999999,results/details/pandas_zero_shot_gpt-4-32k_RAG_AS_TOOL_MAX_INNER_PRODUCT_k_results_1_threshold_0.0_chunk_size_512_avg_True.csv
9,"{'llm': 'gpt-4-32k', 'retriever': <RAGRetriever.CoALA: 'CoALA'>, 'distance_metric': <DistanceMetric.EUCLIDEAN_DISTANCE: 'EUCLIDEAN_DISTANCE'>, 'num_search_results': 1, 'similarity_search_score_threshold': 0.0, 'text_chunk_size': 512, 'use_weighted_average_of_text_chunks': True}",0.5,642.4432301521301,12.8978879,results/details/pandas_zero_shot_gpt-4-32k_CoALA_EUCLIDEAN_DISTANCE_k_results_1_threshold_0.0_chunk_size_512_avg_True.csv
11,"{'llm': 'gpt-4-32k', 'retriever': <RAGRetriever.CoALA: 'CoALA'>, 'distance_metric': <DistanceMetric.MAX_INNER_PRODUCT: 'MAX_INNER_PRODUCT'>, 'num_search_results': 1, 'similarity_search_score_threshold': 0.0, 'text_chunk_size': 512, 'use_weighted_average_of_text_chunks': True}",0.5,505.21651816368103,12.9313084,results/details/pandas_zero_shot_gpt-4-32k_CoALA_MAX_INNER_PRODUCT_k_results_1_threshold_0.0_chunk_size_512_avg_True.csv
16,"{'llm': 'gpt-4-32k', 'retriever': <RAGRetriever.CoALA_AS_TOOL: 'CoALA_AS_TOOL'>, 'distance_metric': <DistanceMetric.MAX_INNER_PRODUCT: 'MAX_INNER_PRODUCT'>, 'num_search_results': 3, 'similarity_search_score_threshold': 0.0, 'text_chunk_size': 512, 'use_weighted_average_of_text_chunks': True}",0.45,255.69074487686157,1.95534,results/details/pandas_zero_shot_gpt-4-32k_CoALA_AS_TOOL_MAX_INNER_PRODUCT_k_results_3_threshold_0.0_chunk_size_512_avg_True.csv
13,"{'llm': 'gpt-4-32k', 'retriever': <RAGRetriever.CoALA_AS_TOOL: 'CoALA_AS_TOOL'>, 'distance_metric': <DistanceMetric.EUCLIDEAN_DISTANCE: 'EUCLIDEAN_DISTANCE'>, 'num_search_results': 1, 'similarity_search_score_threshold': 0.0, 'text_chunk_size': 512, 'use_weighted_average_of_text_chunks': True}",0.45,238.33837604522705,1.9860600000000002,results/details/pandas_zero_shot_gpt-4-32k_CoALA_AS_TOOL_EUCLIDEAN_DISTANCE_k_results_1_threshold_0.0_chunk_size_512_avg_True.csv
8,"{'llm': 'gpt-4-32k', 'retriever': <RAGRetriever.RAG_AS_TOOL: 'RAG_AS_TOOL'>, 'distance_metric': <DistanceMetric.MAX_INNER_PRODUCT: 'MAX_INNER_PRODUCT'>, 'num_search_results': 3, 'similarity_search_score_threshold': 0.0, 'text_chunk_size': 512, 'use_weighted_average_of_text_chunks': True}",0.45,298.1103858947754,2.03856,results/details/pandas_zero_shot_gpt-4-32k_RAG_AS_TOOL_MAX_INNER_PRODUCT_k_results_3_threshold_0.0_chunk_size_512_avg_True.csv
15,"{'llm': 'gpt-4-32k', 'retriever': <RAGRetriever.CoALA_AS_TOOL: 'CoALA_AS_TOOL'>, 'distance_metric': <DistanceMetric.MAX_INNER_PRODUCT: 'MAX_INNER_PRODUCT'>, 'num_search_results': 1, 'similarity_search_score_threshold': 0.0, 'text_chunk_size': 512, 'use_weighted_average_of_text_chunks': True}",0.45,2299.3135216236115,8.062619999999999,results/details/pandas_zero_shot_gpt-4-32k_CoALA_AS_TOOL_MAX_INNER_PRODUCT_k_results_1_threshold_0.0_chunk_size_512_avg_True.csv
2,"{'llm': 'gpt-4-32k', 'retriever': <RAGRetriever.RAG: 'RAG'>, 'distance_metric': <DistanceMetric.EUCLIDEAN_DISTANCE: 'EUCLIDEAN_DISTANCE'>, 'num_search_results': 3, 'similarity_search_score_threshold': 0.0, 'text_chunk_size': 512, 'use_weighted_average_of_text_chunks': True}",0.45,552.4165272712708,29.7561618,results/details/pandas_zero_shot_gpt-4-32k_RAG_EUCLIDEAN_DISTANCE_k_results_3_threshold_0.0_chunk_size_512_avg_True.csv
